区划代码    区县  地级市 省级  上级代码    历史代码    经度  纬度  电话区号    邮编  占地面积    人口总数    政府网址    政府地址
130803  双滦区 承德  河北  130800  *   117.74487   40.95375    0314    067000  452 15  http://www.slq.gov.cn/  河北省承德市双滦区滨河大街58号
130804  鹰手营子矿区  承德  河北  130800  *   117.65985   40.54744    0314    067200  148 7   http://www.cdyz.gov.cn/ 河北省承德市鹰手营子矿区营子大街53号
130821  承德县 承德  河北  130800  *   118.17639   40.76985    0314    067400  3648    42  http://www.cdx.gov.cn/  河北省承德市承德县
130822  兴隆县 承德  河北  130800  *   117.50073   40.41709    0314    067300  3123    33  http://www.hbxl.gov.cn/ 河北省承德市兴隆县
130823  平泉县 承德  河北  130800  *   118.70196   41.01839    0314    067500  3294    48  http://www.pingquan.gov.cn/ 河北省承德市平泉县
130824  滦平县 承德  河北  130800  *   117.33276   40.94148    0314    068250  2993    32  http://www.lpx.gov.cn/  河北省承德市滦平县
130825  隆化县 承德  河北  130800  *   117.7297    41.31412    0314    068150  5473    44  http://www.hebeilonghua.gov.cn/ 河北省承德市隆化县兴洲路369号
130826  丰宁满族自治县 承德  河北  130800  *   116.6492    41.20481    0314    068350  8765    41  http://www.fengning.gov.cn/ 河北省承德市丰宁满族自治县爱民街甲42号
130827  宽城满族自治县 承德  河北  130800  *   118.49176   40.60829    0314    067600  1936    25  http://www.hbkc.gov.cn/ 河北省承德市宽城满族自治县
130828  围场满族蒙古族自治县  承德  河北  130800  *   117.7601    41.94368    0314    068450  9220    54  http://www.weichang.gov.cn/ 河北省承德市围场满族蒙古族自治县木兰中路263号
130900  沧州  沧州  河北  130000  *   116.857461  38.310582   0317    061000  13488   746 http://www.cangzhou.gov.cn/ 河北省沧州市运河区解放西路39号
130902  新华区 沧州  河北  130900  *   116.86643   38.31438    0317    061000  89  23  http://www.czxh.gov.cn/ 河北省沧州市新华区维明路19号
130903  运河区 沧州  河北  130900  *   116.85706   38.31352    0317    061000  138 32  http://www.czyh.gov.cn/ 河北省沧州市运河区光荣路26号
130921  沧县  沧州  河北  130900  *   116.87817   38.29361    0317    061000  1520    71  http://www.cxzf.gov.cn/ 河北省沧州市沧县黄河东路37号
130922  青县  沧州  河北  130900  *   116.80316   38.58345    0317    062650  968 42  http://www.qingxian.gov.cn/ 河北省沧州市青县振兴路1号
130923  东光县 沧州  河北  130900  *   116.53668   37.8857 0317    061600  711 37  http://www.dongguang.gov.cn/    河北省沧州市东光县府前大街51号
130924  海兴县 沧州  河北  130900  *   117.49758   38.13958    0317    061200  919 23  http://www.haixing.gov.cn/  河北省沧州市海兴县海政路
130925  盐山县 沧州  河北  130900  *   117.23092   38.05647    0317    061300  795 48  http://www.chinayanshan.gov.cn/ 河北省沧州市盐山县北大街
130926  肃宁县 沧州  河北  130900  *   115.82971   38.42272    0317    062350  516 36  http://www.suning.gov.cn/   河北省沧州市肃宁县肃水路39号
130927  南皮县 沧州  河北  130900  *   116.70224   38.04109    0317    061500  790 39  http://www.nanpi.gov.cn/    河北省沧州市南皮县正大中路1号
